category_truth,text
Core Platform,"Subject: Help needed - the app

Hi support, Edge-router config reload is flapping listeners, brief full outages every 4m.
Nothing obvious in the last deploy diff.
Hope this can be sorted soon.
Regards,
Lena"
Content Discovery,"Subject: Ongoing issue: streaming account

Good morning, My continue watching row vanished and my list order is completely scrambled.
Can someone take a look?
Regards,
Alex"
User Engagement,"hey folks, re watchlist-service: watchlist reads intermittently empty, cache and store disagree for 25% of users. can someone take a look?"
Content Discovery,"Issue summary: Ranker-v42 inference errors spiked after the canary promotion
Affected area: production
Description: Ranker-v42 inference errors spiked after the canary promotion, 11% error rate and homepage personalization degraded.
Impact: Internal workflow blocked
First noticed: 19:55 UTC"
Streaming Platform,"Subject: Help needed - subtitle-service

Hello, Subtitles are out of sync by a few seconds on everything I watch.
A restart made it better for about ten minutes. Roughly 25% of attempts are affected.
Let me know if you need more details.
Thanks,
Ravi"
Identity Platform,"not sure if known, but re auth-service: Redis hot key on session:tenant:enterprise-admins at 92k ops/s, Redis p99 4200ms, enterprise logins degraded. cc on-call."
Identity Platform,"raising this here first: profile-service in prod: all my profiles disappeared, only the default one shows up now. mostly ap-south-1 traffic from what we can tell. retried after clearing cache, no change. happy to hop on a call."
User Engagement,"Monitoring picked this up a few minutes ago: watchlist-service (SEV2) - watchlist reads intermittently empty, cache and store disagree for 9% of users. First noticed by the SEV1 bridge during triage. Auto-remediation did not kick in."
Content Discovery,"Monitoring picked this up a few minutes ago: metadata-service (SEV3) - metadata reads serving stale artwork and descriptions after a cache invalidation misfired, 31% mismatch rate."
User Engagement,"Paraphrasing the page we just got: push-service (SEV2) - push token refresh job crashlooping, delivery receipts down 30% day over day. Roughly 35% of attempts are affected. Impact is still growing per the last check."
Streaming Platform,"Translating the alert for this queue: cdn-routing-service (SEV2) - cdn-routing-service weights look wrong after the last config push, cache hit ratio dropped to 14%."
User Engagement,"Issue summary: Watchlist reads intermittently empty
Affected area: watchlist-service
Description: Watchlist reads intermittently empty, cache and store disagree for 37% of users.
Impact: Internal workflow blocked
First noticed: 04:20 UTC"
Streaming Platform,quick flag: re cdn-routing-service: POP failover flapped 9 times in an hour and session throughput is sawtoothing. happy to hop on a call.
Core Platform,"Issue summary: Gateway worker restarts spiking after the timeout tuning change
Affected area: api-gateway (prod)
Description: Gateway worker restarts spiking after the timeout tuning change, 7 restarts in 20m. Nothing obvious in the last deploy diff.
Impact: Multiple customers affected
First noticed: 07:30 UTC"
User Engagement,"quick flag: ratings-service: my thumbs-up ratings do not stick, everything resets when I reopen the app. retried after clearing cache, no change. a restart made it better for about ten minutes."
Identity Platform,"Subject: Problem with streaming account

Hey, Trying to create an account but it errors every single time on the last step.
Let me know if you need more details.
Regards,
Sam"
Monetization Platform,raising this here first: billing-service in prod: my card was billed two times for the same subscription period and I need one refunded. nothing obvious in the last deploy diff. roughly 16% of attempts are affected. who owns this?
Core Platform,"Paraphrasing the page we just got: observability-service (SEV3) - otel-collector OOMKilled against the 2Gi limit, span queue depth 9300. Impact is still growing per the last check. Mostly us-west-2 traffic from what we can tell. Needs an owner before it breaches further."
Identity Platform,"Issue summary: Profile preference writes timing out at 1800ms after the session cache change
Affected area: profile-service
Description: Profile preference writes timing out at 1800ms after the session cache change.
Impact: Widespread, still growing
First noticed: 06:45 UTC"
Streaming Platform,"Issue summary: Video quality is stuck at the lowest setting and never adapts up
Affected area: production
Description: Video quality is stuck at the lowest setting and never adapts up. Nothing obvious in the last deploy diff. First noticed by the SEV2 bridge during triage.
Impact: Internal workflow blocked
First noticed: 10:25 UTC"
User Engagement,"Alertmanager fired and here is the summary: notification-service (SEV1) - in-app notification fanout delayed 33m, queue depth 11800 and climbing. Runbook link was stale, routing to you."
Data Platform,"Issue summary: Score responses from the ranking endpoint are timing out for our batch job since 09:05
Affected area: production
Description: Score responses from the ranking endpoint are timing out for our batch job since 09:05.
Impact: Widespread, still growing
First noticed: 17:50 UTC"
Core Platform,"Subject: [Customer report] the app

Hello, TLS handshake errors at the edge in eu-west-1, 74 per minute and upstream resets climbing.
Started around 15:55 UTC.
Hope this can be sorted soon.
- Ravi"
User Engagement,"Subject: Problem with the app

Hi team, I get pushes on my tablet but my phone has been silent for days, same account.
Mostly ap-south-1 traffic from what we can tell.
Can someone take a look?
- Omar"
Streaming Platform,"Paraphrasing the page we just got: manifest-service (SEV3) - manifest endpoints returning intermittent 5xx since the cache TTL change, 18% of fetches affected. Auto-remediation did not kick in."
Streaming Platform,"Monitoring picked this up a few minutes ago: subtitle-service (SEV1) - subtitle fetches returning 404 for newly published titles, 74 errors in the last hour. Nothing obvious in the last deploy diff. Started around 09:00 UTC. Runbook link was stale, routing to you."
User Engagement,"Issue summary: Push notifications stopped arriving on my phone entirely this week
Affected area: push-service (prod)
Description: Push notifications stopped arriving on my phone entirely this week.
Impact: Revenue impacting
First noticed: 19:50 UTC"
User Engagement,"Alertmanager fired and here is the summary: push-service (SEV2) - push token refresh job crashlooping, delivery receipts down 21% day over day. Needs an owner before it breaches further."
Core Platform,"Paraphrasing the page we just got: observability-service (SEV2) - tempo-distributor writes timing out at 2500ms, 11% of spans failing to persist. Needs an owner before it breaches further."
Data Platform,"Issue summary: Offline-to-online feature sync job is crashlooping since 18:05
Affected area: production
Description: Offline-to-online feature sync job is crashlooping since 18:05, materialization stalled. Impact is still growing per the last check.
Impact: Internal workflow blocked
First noticed: 21:40 UTC"
Data Platform,"On-call summary from the last page: event-ingestion-service (SEV3) - ingest topic backlog at 14.5M events, consumer lag growing 2400k per minute. Runbook link was stale, routing to you."
Streaming Platform,"Issue summary: Subtitles are out of sync by a few seconds on everything I watch
Affected area: subtitle-service (prod)
Description: Subtitles are out of sync by a few seconds on everything I watch. Happens on both web and the TV app.
Impact: Widespread, still growing
First noticed: 15:55 UTC"
Identity Platform,"Monitoring picked this up a few minutes ago: account-service (SEV2) - account detail lookups slow at 2500ms p99, downstream callers timing out. Mostly ap-south-1 traffic from what we can tell. Runbook link was stale, routing to you."
Monetization Platform,"Subject: [Customer report] service degradation

Hello, My payment keeps failing at checkout even though the card works everywhere else.
Impact is still growing per the last check. Happens on both web and the TV app.
Appreciate any help.
Thanks,
Tunde"
Streaming Platform,"Subject: Ongoing issue: my account

Hey, The stream froze three times during one episode and then kicked me out.
Can someone take a look?
Cheers,
Priya"
Monetization Platform,Alertmanager fired and here is the summary: subscription-service (SEV3) - renewal processing backlog at 74 accounts and renewals are failing silently. Paging felt premature so filing here.
Core Platform,"Subject: Issue: streaming account

Good morning, The whole app errors out intermittently, different screens but the same something-went-wrong message.
Hope this can be sorted soon.
Regards,
Devon"
Monetization Platform,"Translating the alert for this queue: billing-service (SEV3) - duplicate payment captures detected in the ledger reconciliation job, 3200 duplicates in batch ledger-20260617-28. Started around 22:45 UTC. Needs an owner before it breaches further."
Data Platform,"Subject: Problem with streaming account

Hey, Client events from last night are missing downstream, there is a gap starting around 07:35.
Thanks!
Cheers,
Ravi"
Monetization Platform,"Monitoring picked this up a few minutes ago: payment-service (SEV2) - card authorization error rate up 28% since 02:20, issuer responses slow across the board. Happens on both web and the TV app. Paging felt premature so filing here."
Data Platform,"fyi - seeing this on feature-store-service - online feature freshness lag at 9m on redis-feature-online, 32% stale features being served."
Data Platform,anyone else seeing this? analytics-service in prod: analytics query layer p99 at 2100ms after the warehouse migration. can someone take a look?
Core Platform,"quick flag: re config-service: config rollout stuck at 22%, flags not propagating and pods holding stale values. a restart made it better for about ten minutes. cc on-call."
Identity Platform,"Paraphrasing the page we just got: account-service (SEV1) - account detail lookups slow at 2500ms p99, downstream callers timing out. Nothing obvious in the last deploy diff. Runbook link was stale, routing to you."
Content Discovery,On-call summary from the last page: recommendation-service (SEV3) - online feature freshness lag exceeds 28m and ranking quality metrics are regressing. Impact is still growing per the last check. Paging felt premature so filing here.
Content Discovery,anyone else seeing this? search-service: search p99 at 3420ms with 9% of queries timing out since the index rebuild. a restart made it better for about ten minutes. impact is still growing per the last check. who owns this?
Core Platform,"raising this here first: seeing this on config-service - config rollout stuck at 18%, flags not propagating and pods holding stale values. will open a ticket if it persists."
User Engagement,"not sure if known, but re push-service: APNs and FCM push delivery failing for 13% of devices since the token migration. retried after clearing cache, no change. thread me if you need logs."
Content Discovery,"Paraphrasing the page we just got: catalog-service (SEV2) - titles published 6h ago are still not visible in the catalog API, publish pipeline consumer stalled. First noticed by the SEV2 bridge during triage."
Monetization Platform,"hey folks, billing-service in prod: billing-ledger DB connection pool is exhausted at 100% with a wait queue of 1860, ledger writes blocked and captures timing out. reference sf-5466 from an earlier report that looks related. will open a ticket if it persists."
Content Discovery,"Issue summary: Every title on my home screen shows the wrong runtime and a missing synopsis
Affected area: metadata-service (prod)
Description: Every title on my home screen shows the wrong runtime and a missing synopsis. Reference SF-9041 from an earlier report that looks related.
Impact: Revenue impacting
First noticed: 08:15 UTC"
Core Platform,"Issue summary: The whole app errors out intermittently
Affected area: api-gateway (prod)
Description: The whole app errors out intermittently, different screens but the same something-went-wrong message. Roughly 34% of attempts are affected. Nothing obvious in the last deploy diff.
Impact: Single account affected
First noticed: 13:55 UTC"
Monetization Platform,"Issue summary: I cancelled last week but it still says my subscription renews tomorrow
Affected area: production
Description: I cancelled last week but it still says my subscription renews tomorrow. Impact is still growing per the last check.
Impact: Single account affected
First noticed: 04:15 UTC"
User Engagement,"Alertmanager fired and here is the summary: notification-service (SEV2) - notification dedupe cache flushed during the deploy, users receiving repeats. Retried after clearing cache, no change. Needs an owner before it breaches further."
Identity Platform,"Subject: Issue: profile-service

Hi team, Profile reads returning 500s for ~15% of requests since 16:10.
A restart made it better for about ten minutes.
Appreciate any help.
Cheers,
Ravi"
Content Discovery,"Translating the alert for this queue: metadata-service (SEV2) - metadata reads serving stale artwork and descriptions after a cache invalidation misfired, 21% mismatch rate. Happens on both web and the TV app."
Core Platform,"heads up - observability-service: Fluent Bit buffers at 6% capacity and Loki push errors are dropping production logs, 9% already lost. started around 04:45 utc. cc on-call."
User Engagement,"Monitoring picked this up a few minutes ago: push-service (SEV3) - push token refresh job crashlooping, delivery receipts down 12% day over day. Reference SF-1386 from an earlier report that looks related. Started around 17:20 UTC. Paging felt premature so filing here."
Monetization Platform,"Issue summary: The receipt I got shows a different amount than what my bank was actually charged
Affected area: invoice-service
Description: The receipt I got shows a different amount than what my bank was actually charged. First noticed by the SEV1 bridge during triage.
Impact: Widespread, still growing
First noticed: 02:50 UTC"
Core Platform,"anyone else seeing this? api-gateway: gateway returning 502 and 504 across multiple upstreams, 23% of requests failing since 15:25. will open a ticket if it persists."
Streaming Platform,"Monitoring picked this up a few minutes ago: playback-service (SEV1) - the new playback rollout is stuck in ImagePullBackOff, registry answered TLS handshake timeout for the hotfix tag. Reference SF-4768 from an earlier report that looks related. Paging felt premature so filing here."
Monetization Platform,"Issue summary: My payment keeps failing at checkout even though the card works everywhere else
Affected area: payment-service
Description: My payment keeps failing at checkout even though the card works everywhere else.
Impact: Multiple customers affected
First noticed: 10:05 UTC"
User Engagement,"Paraphrasing the page we just got: ratings-service (SEV3) - ratings ingestion lagging 14m, thumbs signals not persisting downstream. Impact is still growing per the last check. Auto-remediation did not kick in."
Data Platform,"Subject: Problem with streaming account

Good morning, Downstream ranking consumers report our features are 10 minutes stale and quality metrics are dipping.
Reference SF-3053 from an earlier report that looks related.
Thanks in advance.
Thanks,
Lena"
Content Discovery,"Translating the alert for this queue: personalization-service (SEV2) - personalized shelf ordering is falling back to editorial defaults, override rate 32%. Impact is still growing per the last check. Auto-remediation did not kick in."
Identity Platform,Monitoring picked this up a few minutes ago: profile-service (SEV3) - profile reads returning 500s for ~14% of requests since 20:50.
Content Discovery,"hey folks, re search-service: search p99 at 1800ms with 23% of queries timing out since the index rebuild. a restart made it better for about ten minutes. happy to hop on a call."
Data Platform,"Issue summary: The engagement dashboard has not updated since yesterday morning
Affected area: production
Description: The engagement dashboard has not updated since yesterday morning.
Impact: Internal workflow blocked
First noticed: 05:40 UTC"
User Engagement,"Subject: Urgent: production issue

Hi there, Ratings write path erroring for 26% of events since 01:50.
First noticed by the SEV1 bridge during triage.
Hope this can be sorted soon.
Best,
Tunde"
User Engagement,"Monitoring picked this up a few minutes ago: ratings-service (SEV2) - ratings ingestion lagging 40m, thumbs signals not persisting downstream. Impact is still growing per the last check. Needs an owner before it breaches further."
Streaming Platform,"fyi - license-service in prod: DRM license acquisition is failing for ~23% of session starts, license grants timing out at 1800ms. roughly 20% of attempts are affected. mostly ap-south-1 traffic from what we can tell."
Streaming Platform,"Subject: Help needed - service degradation

Hi there, The stream starts and then immediately errors out with a media error code.
A restart made it better for about ten minutes. Retried after clearing cache, no change.
Thanks!
- Maya"
Data Platform,Paraphrasing the page we just got: ml-ranking-service (SEV1) - ranking endpoint p99 at 2100ms with 24% inference errors after the model refresh.
Streaming Platform,"fyi - seeing this on license-service - license-service error rate jumped after the key-rotation job, 2400 denials in the last hour. cc on-call."
Identity Platform,"raising this here first: seeing this on profile-service - all my profiles disappeared, only the default one shows up now. cc on-call."
Streaming Platform,"quick flag: re playback-service: shows will not start at all, I just get an error after a long wait. started around 07:45 utc. impact is still growing per the last check. cc on-call."
Streaming Platform,"Issue summary: Subtitle fetches returning 404 for newly published titles
Affected area: subtitle-service (prod)
Description: Subtitle fetches returning 404 for newly published titles, 340 errors in the last hour. Happens on both web and the TV app. Nothing obvious in the last deploy diff.
Impact: Single account affected
First noticed: 12:55 UTC"
Data Platform,"Issue summary: Score responses from the ranking endpoint are timing out for our batch job since 19:35
Affected area: ml-ranking-service (prod)
Description: Score responses from the ranking endpoint are timing out for our batch job since 19:35.
Impact: Intermittent but recurring
First noticed: 08:35 UTC"
Core Platform,"Issue summary: Every few minutes the app logs me to an error page no matter what I tap
Affected area: api-gateway
Description: Every few minutes the app logs me to an error page no matter what I tap. Happens on both web and the TV app.
Impact: Widespread, still growing
First noticed: 05:25 UTC"
Content Discovery,"Subject: Ongoing issue: service degradation

Hi support, A movie I was watching yesterday has vanished from the entire catalog.
Roughly 32% of attempts are affected. Mostly us-west-2 traffic from what we can tell.
Let me know if you need more details.
Cheers,
Nina"
User Engagement,"not sure if known, but re push-service: APNs and FCM push delivery failing for 11% of devices since the token migration. retried after clearing cache, no change. happy to hop on a call."
User Engagement,"Subject: Problem with my account

Hi support, Push token refresh job crashlooping, delivery receipts down 28% day over day.
Started around 14:20 UTC.
Let me know if you need more details.
- Alex"
Content Discovery,"Subject: Urgent: streaming account

Hi support, The new season released today but it does not show up anywhere in the app.
Let me know if you need more details.
Thanks,
Yuki"
